"name","date","url","message","message_zh","country","continente","ai","a","ID"
"The China Africa Project",2017-05-23,"https://www.facebook.com/373919412660722/posts/1495641053821880","[ONE BELT, ONE ROAD] #China's hugely ambitious global trading strategy known as ""One Belt, One Road"" holds enormous promise for #African states to reap enormous dividends in the form of infrastructure and other development projects. BUT... the devil is in the details... if all those new roads, ports, bridges and airports are going to be built with borrowed Chinese money, then ""One Belt, One Road"" could worsen an already dire debt situation in #Africa: http://bit.ly/2q8KqE7:=:https://anzetsewere.wordpress.com/2017/05/22/what-chinas-one-belt-one-road-initiative-means-for-africa/amp/","[一条腰带，一条道路]＃中国雄心勃勃的全球贸易策略被称为“一带一路，一条道路”，这对#AFRICAN州具有巨大的希望，可以以基础设施和其他开发项目的形式获得巨大的股息。但是...魔鬼在细节上...如果所有这些新道路，港口，桥梁和机场都将用借来的中国钱来建造，那么“一条腰带，一条道路”可能会使已经很可怕的债务处于#AFRICA：http：//bit.ly/2Q8KQE7:=:https://anzetsewere.wordpress.com/2017/05/05/22/what-what-c​​hinas-one-one-one-one-one-ono-road-initiative-mean--mean-means-for-for-for-for--for-fora /amp/","南非","非洲","根據該文章的內容，可以說對一帶一路的情緒是負面的。文章提到了一帶一路對非洲國家帶來的巨大希望，但同時也指出了一些問題和潛在風險，特別是對於非洲國家的債務問題。因此，該文章對一帶一路的態度可以被認為是持有懷疑和警惕的態度，並對其可能帶來的負面影響提出了一些疑問。","是負面的",11
"The China Africa Project",2018-07-19,"https://www.facebook.com/373919412660722/posts/1986628681389779","[US-CHINA-AFRICA] The United States is backing up its criticism of Chinese lending in Africa with a possible future funding alternative for African development. Do you think this will be a real alternative to Chinese financing? https://bit.ly/2L70xR0:=:http://www.africanews.com/2018/07/17/us-warns-african-nations-against-chinese-debt-offers-sustainable-alternative/","[美国 - 中美]美国正在支持对非洲中国贷款的批评，并提供了未来的非洲发展资金替代品。您认为这将是中国融资的真正替代方法吗？","南非","非洲","根據這段文章的描述，美國正在支持對非洲中國貸款的批評並提供了未來的非洲發展資金替代品。這暗示著該文章對一帶一路的情緒可能是負面的，因為它提到了對中國融資的批評和替代方法。然而，文章並未提供足夠的信息來判斷這是否真的是中國融資的真正替代方法。因此，該文章的情緒可能是中性的。","是負面的",12
"The China Africa Project",2017-08-30,"https://www.facebook.com/373919412660722/posts/1602988359753815","[#CHINA-INDIA-AFRICA] After centuries of presence in East and South #Africa, India has long considered these regions to in their proverbial 'sphere of influence.' Now, though, as China's presence in East Africa spreads, #India feels that it might be pushed aside: http://bit.ly/2wP0eTv:=:https://www.csmonitor.com/World/2017/0828/As-China-ups-game-in-East-Africa-India-tries-to-guard-home-advantage","[＃中国 - 印度 - 非洲]在印度东部和南#AFRICA数百年后，印度长期以来一直认为这些地区是在其众所周知的“影响力”中。但是，现在，随着中国在东非的存在蔓延，#india觉得它可能被推开：http：//bit.ly/2wp0etv :=:https://www.csmonitor.com/world/2017/2017/0828/在东部 - 非洲 - 非洲 - 印度 - 企业 - 企业 - 家庭对家庭的优势","南非","非洲","根據該文章的內容，可以說它對一帶一路的情緒是負面的。文章提到印度長期以來認為東非和南非洲是其影響力範圍，但現在感到被中國推開。這暗示著中國在這些地區的存在對印度來說是一種競爭和挑戰，可能對印度的利益產生負面影響。","是負面的",13
"The China Africa Project",2016-04-23,"https://www.facebook.com/373919412660722/posts/1127392097313446","[ONE BELT ONE ROAD] In a very rare departure from the party line, a senior #Chinese official has admitted that the New Silk #Road initiative linking China to Europe and #Africa is facing difficulties. http://reut.rs/1qGtYuo","[一条腰带一条路]在派对线非常罕见的地方，一位高级#Chinese官员承认，将中国与欧洲和#AFRICA联系起来的新丝绸#ROAD计划正面临困难。 http://reut.rs/1qgtyuo","南非","非洲","根據提供的文章連結，該文章對一帶一路的情緒是負面的。文章提到一位高級中國官員承認一帶一路計劃面臨困難，暗示該計劃可能遭遇了一些挑戰和問題。","是負面的",14
"The China Africa Project",2017-10-26,"https://www.facebook.com/373919412660722/posts/1658495014203149","[BELT AND ROAD] The idea that #China's Belt and Road Initiative is a revival of the ancient Silk Road lies at the heart of China's contemporary foreign policy. In this article, the New York Review of Books takes a sceptical view of this narrative. https://tinyurl.com/yajuqlhk:=:http://www.nybooks.com/daily/2017/10/25/chinas-silk-road-illusions/","[腰带和道路]＃中国的腰带和道路倡议是古老的丝绸之路的复兴，这是中国当代外交政策的核心。在本文中，《纽约书籍评论》对这种叙述持怀疑态度。 https://tinyurl.com/yajuqlhk:=:http://www.nybooks.com/daily/2017/10/10/10/25/chinas-silk-road-rad-rarod-illusions/","南非","非洲","根據提供的連結，該文章對一帶一路倡議持懷疑態度，可以說是負面的。該文章懷疑一帶一路倡議的可行性和效益，並提出了一些對該倡議的批評和質疑。","是負面的",15
"The China Africa Project",2019-07-20,"https://www.facebook.com/373919412660722/posts/2593550000697641","[DEBT] Facing international criticism about the impact of Chinese debt on fragile economies (and an economic slowdown at home) the Chinese government is tightening up conditions for further infrastructure lending to foreign countries. The effect is being felt all over the world. Nowhere more so than in Kenya, where the Standard Gauge Railway, once an example of groundbreaking cross-border infrastructure, now looks like an overpriced vanity project...","[债务]面对国际债务对中国债务对脆弱经济体的影响（以及在家中经济放缓）的影响，中国政府正在加强条件，以进一步提供给国外的基础设施贷款。全世界都感受到了效果。在肯尼亚，没有什么地方是标准仪铁路，曾经是开创性跨境基础设施的例子，现在看起来像是一个价格过高的虚荣项目...","南非","非洲","根據該段文字的描述，可以認為對一帶一路的情緒是負面的。文章提到中國政府加強條件以提供基礎設施貸款給國外，但同時也提到國際债务對中國和脆弱經濟體的影響，以及中國國內經濟放緩的情況。此外，文章還提到肯尼亞的鐵路項目被認為是一個虛榮的高價項目。這些描述都暗示了對一帶一路的懷疑和批評，因此可以認為該段文字對一帶一路的情緒是負面的。","是負面的",16
"The China Africa Project",2018-09-04,"https://www.facebook.com/373919412660722/posts/2068821876503792","[#FOCAC2018] With more than 100 million of its people living in poverty, there is understandable resentment among some in #China over the idea of spending so much money on #Africa's development: https://lat.ms/2MMHU5I:=:http://www.latimes.com/world/la-fg-china-africa-20180903-story.html","[＃focac2018]拥有超过1亿人生活在贫困中的人，#China的一些人对在＃非洲的发展上花费大量钱的想法是可以理解的：https：//lat.ms/2mmhu5i :==： http://www.latimes.com/world/la-fg-china-africa-20180903-story.html","南非","非洲","根據提供的連結，該文章對一帶一路的情緒是負面的。文章指出中國在非洲的投資和發展計劃，對於一億以上生活在貧困中的人來說，可能是可以理解的。這暗示中國在一帶一路計劃中花費大量資金的做法可能對中國國內的貧困問題產生一定的影響。","是負面的",17
"Daily Maverick",2021-02-17,"https://www.facebook.com/171090380838/posts/10159906482615839","Of the 54 countries in Africa, only Mauritius has successfully concluded a free-trade agreement with China. Thirty of the continent’s least developed countries have access to a unilateral preferential scheme. The balance, including South Africa, do not enjoy the same kind of preferential access to the Chinese market.","在非洲的54个国家中，只有毛里求斯成功地与中国达成了一项自由贸易协定。非洲最不发达国家的三十个可以使用单方面优先计划。包括南非在内的余额不享受中国市场的优惠机会。","南非","非洲","根據該段文字的描述，可以說對於一帶一路在非洲的情緒是負面的。文章指出，在非洲的54個國家中，只有毛里求斯與中國達成了自由貿易協定，而非洲最不發達國家的三十個國家可以使用單方面優先計劃，但包括南非在內的其他國家則無法享受中國市場的優惠機會。這暗示了一帶一路在非洲的實施並未普及到所有國家，且有些國家並未受益於其中的貿易優惠政策，因此可以認為該段文字對一帶一路的情緒是負面的。","是負面的",18
"The China Africa Project",2017-05-07,"https://www.facebook.com/373919412660722/posts/1481434168575902","[#INDIA-#CHINA-#AFRICA] Perhaps not surprisingly, given India's anxieties about Chinese power in the world, the Indian press is taking a very dim view of China's One Belt One Road initiative in Africa. http://bit.ly/2pUloJt:=:https://economictimes.indiatimes.com/news/politics-and-nation/chinas-obor-initiative-could-worsen-socio-economic-difficulties-for-africa/articleshow/58541769.cms","[＃印度 - ＃中国 - 非洲]也许毫不奇怪，鉴于印度对中国在世界上的权力的焦虑，印度媒体对中国在非洲的一条道路倡议的看法非常黯淡。 http://bit.ly/2pulojt :=:https://econonicmictimes.indiatimes.com/news/politics-and-nation/chinas-obor-initiative-could-could-worsen-socio-cood-socio-economic--coldifficulties-forficulties-forcifulties-forcifulties-forcifulties-forcifulties-forrica/文章/58541769.CMS","南非","非洲","根據提供的連結，該文章對一帶一路倡議的情緒是負面的。文章指出印度媒體對中國在非洲的一帶一路倡議持悲觀態度，認為該倡議可能加劇非洲的社會經濟困難。這反映了印度對中國在全球舞台上的影響力感到焦慮，並對中國在非洲的投資和影響力持懷疑態度。因此，該文章對一帶一路的情緒是負面的。","是負面的",19
"The China Africa Project",2017-12-23,"https://www.facebook.com/373919412660722/posts/1723381947714455","[BELT AND ROAD] Not everyone is a fan of China's Belt and Road Initiative. The Indian academic Brahma Chellaney accuses #China of using cheap debt to shackle other countries to its agenda. http://cnb.cx/2kHKZ78:=:https://www.cnbc.com/2017/12/22/one-belt-one-road-china-loans-are-debt-bondage-says-brahma-chellaney.html","[皮带和路]并不是每个人都喜欢中国的腰带和道路倡议。印度学术梵天Chellaney指责#China使用廉价债务将其他国家束缚在其议程上。 http://cnb.cx/2khkz78:=:https://www.cnbc.com/2017/12/12/22/one-belt-one-one-one-ono-china-china-china-china-loans-loans-loans-are-debt-bondage-bondage-says-brahma-says-brahma--brahma--brahma--says-brahma-- chellaney.html","南非","非洲","根據該文章的描述，可以判斷該文章對一帶一路的情緒是負面的。文章引用了印度學者梵天Chellaney的觀點，指責中國使用廉價债务將其他國家束縛在其議程上。這暗示了一帶一路倡議可能對參與國家造成負面影響，並對中國的行為提出了批評。","是負面的",20
"The China Africa Project",2017-05-25,"https://www.facebook.com/373919412660722/posts/1497970593588926","[#INDIA-#CHINA-#AFRICA] India seems intent on either copying or displacing China's One Belt One Road initiative, by proposing a new Asia-Africa Development Corridor backed by Japan. http://bit.ly/2qWAYVP:=:https://thewire.in/diplomacy/following-in-chinas-footsteps-modi-proposes-asia-africa-growth-corridor","[＃印度 - ＃中国 - 非洲]印度似乎打算通过提议由日本支持的新亚洲 - 非洲发展走廊来复制或取代中国的一条道路倡议。 http://bit.ly/2qwayvp :=:https://thewire.in/diplomacy/following-in-chinas-footsteps-modi-proposes-proposes-asia-asia-asia-africa-rowth-corridor","南非","非洲","根據提供的文章連結，該文章對一帶一路的情緒可以被視為負面。文章指出印度似乎打算通過提議由日本支持的新亞洲-非洲發展走廊來取代或複製中國的一帶一路倡議。這暗示著印度對中國的倡議持有競爭的態度，可能對中國的一帶一路計劃持有批評的立場。然而，這僅僅是根據該文章的描述，實際情況可能更加複雜，需要更多的資訊和觀點來進一步評估。","是負面的",21
"The China Africa Project",2019-05-03,"https://www.facebook.com/373919412660722/posts/2452275531491756","[BELT AND ROAD] A new U.S. propaganda video aims to discourage countries from signing on to China's #BeltandRoad with a pretty simple message: ""don't get caught in [#China's] debt trap"" instead partner with the U.S. for ""transparent, free and fair trade deals.""","[Belt and Road]一部新的美国宣传视频旨在通过一个非常简单的信息来阻止国家签署中国#BeltandRoad：“不要被[＃中国]的债务陷阱陷入困境”，而不是与美国合作，以“透明，”自由公平的交易。”","南非","非洲","根據該段文字的描述，可以判斷該文章對一帶一路的情緒是負面的。該段文字提到了一部新的美國宣傳視頻，旨在阻止國家簽署一帶一路協議，並警告國家不要陷入中國的债務陷阱。同時，該段文字還提到了與美國合作的優勢，如透明、自由和公平的交易。這些描述暗示了對一帶一路的懷疑和對中國的批評，因此可以認為該文章對一帶一路的情緒是負面的。","是負面的",22
"The China Africa Project",2018-07-12,"https://www.facebook.com/373919412660722/posts/1975361255849855","[TRADE] As China expands its Belt and Road Initiative (BRI) in Africa, government-level U.S.-#China cooperation in #Africa continues to be scarce: https://brook.gs/2zvCmXd:=:https://www.brookings.edu/blog/africa-in-focus/2018/07/11/american-companies-and-chinese-belt-and-road-in-africa/","[贸易]随着中国扩大非洲的腰带和道路倡议（BRI），政府级的美国＃＃#AFRICA的中国合作继续很少： 。","南非","非洲","根據提供的資訊，該文章對一帶一路的情緒是負面的。文章指出，隨著中國擴大非洲的一帶一路倡議，美國政府對中國和非洲的合作持有較少的態度。這暗示了該文章對中國的一帶一路倡議持有批評的立場。","是負面的",23
"The China Africa Project",2017-09-07,"https://www.facebook.com/373919412660722/posts/1610762038976447","[BELT AND ROAD] China's Belt and Road Initiative is frequently painted as an infrastructure bonanza for Africa. But in reality, its financial outcome could be a lot more complicated... https://tinyurl.com/y6u4u6ob:=:http://theconversation.com/why-chinas-audacious-building-plans-could-be-a-major-strain-on-african-economies-81115","[皮带和道路]中国的腰带和道路倡议经常被描绘成非洲的基础设施大富翁。 But in reality, its financial outcome could be a lot more complicated... https://tinyurl.com/y6u4u6ob:=:http://theconversation.com/why-chinas-audacious-building-plans-could-be- A-Major-Srain-An-African-Pricanomies-81115","南非","非洲","根據提供的文章標題和描述，該文章對一帶一路的情緒是負面的。","是負面的",24
"Daily Maverick",2020-12-08,"https://www.facebook.com/171090380838/posts/10159710134350839","Prime Minister Scott Morrison has new powers to veto or scrap agreements that state governments reach with foreign powers under laws that could stymie China’s Belt and Road Initiative in Australia and further inflame tensions between the trading partners.","总理斯科特·莫里森（Scott Morrison）拥有否决或报废协议的新权力，即州政府根据法律与外国权力达成的协议，这可能阻碍了澳大利亚的中国腰带和道路倡议，并进一步煽动贸易伙伴之间的紧张局势。","南非","非洲","根據該段文字的描述，可以認為該文章對一帶一路的情緒是負面的。文章提到澳大利亞總理莫里森擁有否決或報廢一帶一路協議的新權力，並指出這可能阻礙了澳大利亞與中國的合作，進一步加劇了貿易夥伴之間的緊張局勢。這種描述暗示了對一帶一路的擔憂和對中國的不信任，因此可以認為該文章對一帶一路的情緒是負面的。","是負面的",25
"Joburg Post",2017-09-05,"https://www.facebook.com/1156309787785226/posts/1555230051226529","BRICS IS BEING BATTERED BY GLOBAL CRISES WHY THIS MIGHT NOT BE A BAD THING ""According to the Hong Kong People’s Forum: Instead of offering an alternative, the BRICS actually offer a continuation of neo-liberalism. On top of BRICS there is also China’s new mega project, the Belt and Road initiative whose main purpose is to export China’s surplus capital."" click on link to read more: https://www.joburgpost.co.za/2017/09/05/brics-battered-global-crises-might-not-bad-thing/","根据香港人民论坛的说法，金砖国家遭受了全球危机的打击：“金砖国家实际上没有提供替代方案，而是提供新自由主义的延续。 Mega Project，《腰带和道路倡议》，其主要目的是出口中国盈余资本。”单击链接以阅读更多信息：https：//www.joburgpost.co.za/2017/09/05/brics-battered-global-crises-crises-might-not-not-not-bad-thing/","南非","非洲","根据提供的链接，文章对一带一路倡议持负面情绪。文章认为金砖国家没有提供替代方案，而是延续了新自由主义的政策，并将一带一路倡议视为中国出口盈余资本的手段。因此，可以判断该文章对一带一路倡议持负面态度。","是負面的",26
"The China Africa Project",2018-04-13,"https://www.facebook.com/373919412660722/posts/1853545518031430","[FINANCE] The head of the International Monetary Fund, Christine Lagarde, is the latest high-profile Western politician to warn about #China's loans to developing countries: https://on.ft.com/2qxQgk3:=:https://www.ft.com/content/7b7f9db2-3dec-11e8-b7e0-52972418fec4","[财务]国际货币基金组织的负责人克里斯汀·拉加德（Christine Lagarde）是最新的西方政治家，以警告＃中国向发展中国家贷款：https：//on.ft.com/2qxqgk3:=:https：// www.ft.com/content/7b7f9db2-3dec-11e8-b7e0-52972418fec4","南非","非洲","根據提供的連結，該文章的內容對一帶一路的情緒是負面的。該文章提到了國際貨幣基金組織（IMF）的負責人克里斯汀·拉加德對中國向發展中國家提供貸款的警告。這暗示了中國在一帶一路倡議中可能存在的風險和問題。","是負面的",27
"The China Africa Project",2017-09-12,"https://www.facebook.com/373919412660722/posts/1615188511867133","[BELT AND ROAD] Japan's Prime Minister Shinzo Abe will soon visit India. How does this related to China-Africa issues? This visit is expected to be the formal kickoff to India and Japan's Asia-Africa development corridor - the rival to China's Belt and Road Initiative, which is crucially reshaping China-Africa relations. https://tinyurl.com/yabbz6g7:=:https://swarajyamag.com/business/shinzo-abes-india-visit-may-see-launch-of-asia-africagrowth-corridor-project","[Belt and Road]日本总理安倍晋三（Shinzo Abe）将很快访问印度。这与中国 - 非洲问题有何关系？预计这次访问将是印度和日本亚洲发展走廊的正式开球，这是中国腰带和道路倡议的竞争对手，这在中国 - 非洲关系中至关重要。 https://tinyurl.com/yabbz6g7:=:https://swarajyamag.com/business/business/shinzo-abes-india-india-visit-may-see-see-see-launch-of-of-asia-asia-asia-asia-africagrowth-corridor-prodor project","南非","非洲","根據該文章的內容，可以說對一帶一路的情緒是負面的。文章提到日本總理安倍晉三的訪問可能是印度和日本亞洲發展走廊的正式開始，這被視為中國一帶一路倡議的競爭對手。這暗示著一帶一路在中國和非洲關係中的重要性可能會受到挑戰。","是負面的",28
"The China Africa Project",2017-07-31,"https://www.facebook.com/373919412660722/posts/1573012032751448","[#DEVELOPMENT] As #China's Belt and Road Initiative surges ahead, Beijing's rivalry within Asia is leading to another, rival development corridor to Africa - developed by India and Japan. http://bit.ly/2vVZWqq:=:https://economictimes.indiatimes.com/news/politics-and-nation/ignoring-obor-india-and-japan-forge-ahead-with-joint-connectivity-project/articleshow/59830218.cms","[#Development]随着＃中国的腰带和道路倡议的提高，北京在亚洲的竞争正在导致另一个由印度和日本开发的非洲竞争对手发展走廊。 http://bit.ly/2vVZWqq:=:https://economictimes.indiatimes.com/news/politics-and-nation/ignoring-obor-india-and-japan-forge-ahead-with-joint-connectivity-项目/文章/59830218.CMS","南非","非洲","根據該文章的內容，可以說它對一帶一路的情緒是負面的。文章提到中國的腰帶和道路倡議正在導致印度和日本開發非洲競爭對手的走廊，暗示中國的倡議可能對印度和日本的利益造成威脅。這種描述暗示了一帶一路對於其他國家的競爭和影響，因此可以認為該文章對一帶一路持有負面的情緒。","是負面的",29
